,0
0,-66.66666666666667
1,-66.33333333333333
2,-66.66666666666667
3,-66.33333333333333
4,-66.0
5,-66.33333333333333
6,-67.0
7,-67.66666666666667
8,-68.0
9,-68.0
10,-65.0
11,-58.333333333333336
12,-51.333333333333336
13,-47.666666666666664
14,-48.0
15,-48.666666666666664
16,-49.0
17,-49.0
18,-49.0
19,-49.0
20,-49.333333333333336
21,-49.666666666666664
22,-50.0
23,-50.0
24,-52.0
25,-51.666666666666664
26,-51.666666666666664
27,-49.666666666666664
28,-50.0
29,-50.0
30,-50.0
31,-50.333333333333336
32,-50.333333333333336
33,-50.0
34,-49.0
35,-48.666666666666664
36,-48.333333333333336
37,-48.333333333333336
38,-48.333333333333336
39,-48.666666666666664
40,-49.333333333333336
41,-51.0
42,-51.0
43,-51.333333333333336
44,-50.0
45,-50.333333333333336
46,-50.0
47,-50.0
48,-50.0
49,-50.333333333333336
50,-50.333333333333336
51,-50.666666666666664
52,-51.0
53,-51.666666666666664
54,-51.666666666666664
55,-52.0
56,-52.333333333333336
57,-52.666666666666664
58,-52.0
59,-51.333333333333336
60,-51.333333333333336
61,-51.666666666666664
62,-52.0
63,-52.0
64,-52.0
65,-52.0
66,-52.0
67,-52.0
68,-52.0
69,-52.0
70,-52.0
71,-52.0
72,-52.0
73,-52.0
74,-52.333333333333336
75,-52.333333333333336
76,-52.333333333333336
77,-51.666666666666664
78,-51.666666666666664
79,-51.666666666666664
80,-52.0
81,-52.0
82,-52.0
83,-52.333333333333336
84,-52.0
85,-52.0
86,-51.333333333333336
87,-51.333333333333336
88,-51.0
89,-51.0
90,-51.333333333333336
91,-51.333333333333336
92,-51.333333333333336
93,-51.0
94,-51.333333333333336
95,-51.333333333333336
96,-51.666666666666664
97,-51.666666666666664
98,-51.666666666666664
99,-51.333333333333336
100,-51.0
101,-51.333333333333336
102,-51.666666666666664
103,-51.666666666666664
104,-51.333333333333336
105,-51.0
106,-51.333333333333336
107,-51.333333333333336
108,-51.333333333333336
109,-51.0
110,-51.333333333333336
111,-51.666666666666664
112,-51.666666666666664
113,-51.666666666666664
114,-51.333333333333336
115,-51.333333333333336
116,-51.0
117,-51.333333333333336
118,-51.666666666666664
119,-51.666666666666664
120,-51.333333333333336
121,-51.333333333333336
122,-51.333333333333336
123,-51.333333333333336
124,-51.333333333333336
125,-51.666666666666664
126,-51.666666666666664
127,-51.333333333333336
128,-51.0
129,-51.0
130,-51.333333333333336
131,-51.666666666666664
132,-51.666666666666664
133,-51.666666666666664
134,-51.666666666666664
135,-52.0
136,-52.0
137,-52.0
138,-52.0
139,-51.666666666666664
140,-51.333333333333336
141,-51.0
142,-51.0
143,-51.333333333333336
144,-51.333333333333336
145,-51.333333333333336
146,-51.0
147,-52.0
148,-52.333333333333336
149,-53.333333333333336
150,-53.0
151,-53.333333333333336
152,-53.0
153,-53.0
154,-52.666666666666664
155,-52.666666666666664
156,-52.666666666666664
157,-52.666666666666664
158,-52.666666666666664
159,-52.666666666666664
160,-53.0
161,-53.0
162,-53.0
163,-52.666666666666664
164,-52.333333333333336
165,-52.0
166,-52.0
167,-52.333333333333336
168,-52.666666666666664
169,-53.0
170,-53.0
171,-53.0
172,-52.666666666666664
173,-52.666666666666664
174,-52.333333333333336
175,-52.666666666666664
176,-52.666666666666664
177,-53.0
178,-53.0
179,-53.0
180,-53.0
